strategy,count,delta,kappa,sim,seed
MF,22.3912,0.72,0.4,252,49
IL,102.2512,0.81,0.4,253,46
MF,17.7488,0.81,0.4,253,46
IL,96.432,0.59,0.4,254,46
MF,23.568,0.59,0.4,254,46
IL,18.0144,0.05,0.4,255,44
MF,101.9856,0.05,0.4,255,44
IL,49.1448,0.29,0.4,256,51
MF,70.8552,0.29,0.4,256,51
IL,96.5704,0.86,0.4,257,48
MF,23.4296,0.86,0.4,257,48
IL,50.9992,0.29,0.4,258,45
MF,69.0008,0.29,0.4,258,45
IL,81.0616,0.75,0.4,259,47
MF,38.9384,0.75,0.4,259,47
IL,42.564,0.3,0.4,260,49
MF,77.436,0.3,0.4,260,49
IL,13.1844,0.05,0.4,261,50
MF,106.8156,0.05,0.4,261,50
IL,45.1044,0.37,0.4,262,46
MF,74.8956,0.37,0.4,262,46
IL,66.094,0.47,0.4,263,51
MF,53.906,0.47,0.4,263,51
IL,85.9892,0.47,0.4,264,45
MF,34.0108,0.47,0.4,264,45
IL,102.1368,0.96,0.4,265,48
MF,17.8632,0.96,0.4,265,48
IL,30.8072,0.39,0.4,266,51
MF,89.1928,0.39,0.4,266,51
IL,26.7304,0.15,0.4,267,44
MF,93.2696,0.15,0.4,267,44
IL,79.8,0.49,0.4,268,46
MF,40.2,0.49,0.4,268,46
IL,27.2464,0.15,0.4,269,50
MF,92.7536,0.15,0.4,269,50
IL,85.938,0.65,0.4,270,47
MF,34.062,0.65,0.4,270,47
IL,62.3996,0.39,0.4,271,45
MF,57.6004,0.39,0.4,271,45
IL,71.7696,0.57,0.4,272,51
MF,48.2304,0.57,0.4,272,51
IL,46.6972,0.27,0.4,273,46
MF,73.3028,0.27,0.4,273,46
IL,89.4616,0.57,0.4,274,45
MF,30.5384,0.57,0.4,274,45
IL,8.568310781318202,0.01,0.4,275,43
MF,112.148,0.01,0.4,275,43
IL,80.3748,0.62,0.4,276,49
MF,39.6252,0.62,0.4,276,49
IL,65.8432,0.43,0.4,277,42
MF,54.1568,0.43,0.4,277,42
IL,102.1612,0.91,0.4,278,46
MF,17.8388,0.91,0.4,278,46
IL,102.422,0.79,0.4,279,43
MF,17.578,0.79,0.4,279,43
IL,103.1436,0.87,0.4,280,46
MF,16.8564,0.87,0.4,280,46
IL,71.3608,0.58,0.4,281,48
MF,48.6392,0.58,0.4,281,48
IL,97.322,0.74,0.4,282,49
MF,22.678,0.74,0.4,282,49
IL,37.3108,0.2,0.4,283,47
MF,82.6892,0.2,0.4,283,47
IL,64.3172,0.55,0.4,284,42
MF,55.6828,0.55,0.4,284,42
IL,31.2256,0.17,0.4,285,43
MF,88.7744,0.17,0.4,285,43
IL,68.6388,0.36,0.4,286,48
MF,51.3612,0.36,0.4,286,48
IL,107.2008,0.99,0.4,287,51
MF,12.7992,0.99,0.4,287,51
IL,111.6656,0.99,0.4,288,45
MF,8.3344,0.99,0.4,288,45
IL,61.092,0.41,0.4,289,45
MF,58.908,0.41,0.4,289,45
IL,24.0868,0.31,0.4,290,46
MF,95.9132,0.31,0.4,290,46
IL,57.8516,0.41,0.4,291,51
MF,62.1484,0.41,0.4,291,51
IL,53.042,0.5,0.4,292,49
MF,66.958,0.5,0.4,292,49
IL,100.8924,0.73,0.4,293,47
MF,19.1076,0.73,0.4,293,47
