strategy,count,delta,lambda,kappa,sim,seed
IL,33.3204,0.33,0.3,0.4,186,51
MB,17.8128,0.33,0.3,0.4,186,51
MF,68.8668,0.33,0.3,0.4,186,51
IL,52.4772,0.89,0.3,0.4,187,51
MB,21.4908,0.89,0.3,0.4,187,51
MF,46.032,0.89,0.3,0.4,187,51
IL,19.2648,0.79,0.1,0.4,188,50
MB,80.908,0.79,0.1,0.4,188,50
MF,19.8272,0.79,0.1,0.4,188,50
IL,14.622,0.79,0.1,0.4,189,44
MB,87.402,0.79,0.1,0.4,189,44
MF,17.976,0.79,0.1,0.4,189,44
IL,21.11,0.31,0.1,0.4,190,48
MB,64.6544,0.31,0.1,0.4,190,48
MF,34.2356,0.31,0.1,0.4,190,48
IL,30.2696,0.33,0.3,0.4,191,45
MB,31.1768,0.33,0.3,0.4,191,45
MF,58.5536,0.33,0.3,0.4,191,45
IL,34.9836,0.17,0.3,0.4,192,43
MB,8.2196,0.17,0.3,0.4,192,43
MF,76.7968,0.17,0.3,0.4,192,43
IL,56.16,0.89,0.3,0.4,193,45
