strategy,count,delta,lambda,kappa,sim,seed
IL,9.9372,0.76,0.1,0.4,809,47
MB,98.9904,0.76,0.1,0.4,809,47
MF,11.0724,0.76,0.1,0.4,809,47
IL,31.3468,0.44,0.2,0.4,810,50
MB,33.5964,0.44,0.2,0.4,810,50
MF,55.0568,0.44,0.2,0.4,810,50
IL,31.498,0.26,0.2,0.4,811,42
MB,51.7848,0.26,0.2,0.4,811,42
MF,36.7172,0.26,0.2,0.4,811,42
IL,9.648,0.02,0.2,0.4,812,44
MB,33.6868,0.02,0.2,0.4,812,44
MF,76.6652,0.02,0.2,0.4,812,44
IL,10.8056,0.3,0.1,0.4,813,47
MB,10.9564,0.3,0.1,0.4,813,47
MF,98.238,0.3,0.1,0.4,813,47
IL,9.185970636215334,0.02,0.2,0.4,814,50
MB,18.5372,0.02,0.2,0.4,814,50
MF,92.4532,0.02,0.2,0.4,814,50
IL,20.6528,0.27,0.3,0.4,815,50
MB,20.7104,0.27,0.3,0.4,815,50
MF,78.6368,0.27,0.3,0.4,815,50
IL,38.5508,0.27,0.3,0.4,816,44
MB,11.3624,0.27,0.3,0.4,816,44
MF,70.0868,0.27,0.3,0.4,816,44
IL,10.184,0.03,0.3,0.4,817,42
MB,9.3752,0.03,0.3,0.4,817,42
MF,100.4408,0.03,0.3,0.4,817,42
IL,16.458,0.25,0.1,0.4,818,49
MB,68.3228,0.25,0.1,0.4,818,49
MF,35.2192,0.25,0.1,0.4,818,49
IL,12.688675470188075,0.49,0.1,0.4,819,43
MB,70.6084,0.49,0.1,0.4,819,43
MF,36.708,0.49,0.1,0.4,819,43
IL,55.0704,0.61,0.3,0.4,820,50
MB,37.5924,0.61,0.3,0.4,820,50
MF,27.3372,0.61,0.3,0.4,820,50
IL,20.0416,0.91,0.1,0.4,821,51
MB,92.44,0.91,0.1,0.4,821,51
MF,7.964406779661017,0.91,0.1,0.4,821,51
IL,22.8444,0.19,0.2,0.4,822,46
MB,14.3752,0.19,0.2,0.4,822,46
MF,82.7804,0.19,0.2,0.4,822,46
IL,19.4408,0.91,0.1,0.4,823,45
MB,90.712,0.91,0.1,0.4,823,45
MF,10.064595257563369,0.91,0.1,0.4,823,45
IL,27.3472,0.63,0.1,0.4,824,49
MB,78.7232,0.63,0.1,0.4,824,49
MF,13.9296,0.63,0.1,0.4,824,49
IL,39.9728,0.61,0.3,0.4,825,44
MB,26.3936,0.61,0.3,0.4,825,44
MF,53.6336,0.61,0.3,0.4,825,44
IL,65.6816,0.93,0.3,0.4,826,48
MB,43.1944,0.93,0.3,0.4,826,48
MF,11.124,0.93,0.3,0.4,826,48
IL,55.2516,0.45,0.3,0.4,827,42
MB,17.724,0.45,0.3,0.4,827,42
MF,47.0244,0.45,0.3,0.4,827,42
IL,32.7104,0.29,0.3,0.4,828,48
MB,13.654,0.29,0.3,0.4,828,48
MF,73.6356,0.29,0.3,0.4,828,48
IL,44.002,0.48,0.2,0.4,829,42
MB,30.5532,0.48,0.2,0.4,829,42
MF,45.4448,0.48,0.2,0.4,829,42
IL,24.476,0.24,0.2,0.4,830,48
MB,17.7824,0.24,0.2,0.4,830,48
MF,77.7416,0.24,0.2,0.4,830,48
IL,26.4972,0.14,0.3,0.4,831,46
MB,5.337819025522042,0.14,0.3,0.4,831,46
MF,88.9016,0.14,0.3,0.4,831,46
IL,45.7684,0.52,0.3,0.4,832,46
MB,7.525562372188139,0.52,0.3,0.4,832,46
MF,66.8716,0.52,0.3,0.4,832,46
IL,24.3072,0.62,0.2,0.4,833,48
MB,67.6708,0.62,0.2,0.4,833,48
MF,28.022,0.62,0.2,0.4,833,48
IL,11.5624,0.18,0.1,0.4,834,47
MB,67.384,0.18,0.1,0.4,834,47
MF,41.0536,0.18,0.1,0.4,834,47
IL,39.6224,0.23,0.3,0.4,835,46
MB,11.62,0.23,0.3,0.4,835,46
MF,68.7576,0.23,0.3,0.4,835,46
IL,59.494,0.99,0.3,0.4,836,46
MB,50.5404,0.99,0.3,0.4,836,46
MF,10.463670726585468,0.99,0.3,0.4,836,46
IL,8.8,0.69,0.1,0.4,837,47
MB,103.0464,0.69,0.1,0.4,837,47
MF,8.1536,0.69,0.1,0.4,837,47
IL,18.074,0.13,0.2,0.4,838,48
MB,18.798,0.13,0.2,0.4,838,48
MF,83.128,0.13,0.2,0.4,838,48
IL,15.6656,0.95,0.1,0.4,839,47
MB,97.3092,0.95,0.1,0.4,839,47
MF,7.0252,0.95,0.1,0.4,839,47
IL,28.5252,0.55,0.2,0.4,840,48
MB,52.7512,0.55,0.2,0.4,840,48
MF,38.7236,0.55,0.2,0.4,840,48
IL,40.5824,0.83,0.2,0.4,841,42
MB,59.1256,0.83,0.2,0.4,841,42
MF,20.292,0.83,0.2,0.4,841,42
IL,20.5108,0.39,0.2,0.4,842,42
MB,33.1532,0.39,0.2,0.4,842,42
MF,66.336,0.39,0.2,0.4,842,42
IL,34.9528,0.65,0.3,0.4,843,46
MB,49.4864,0.65,0.3,0.4,843,46
MF,35.5608,0.65,0.3,0.4,843,46
IL,50.6772,0.7,0.3,0.4,844,42
MB,46.902,0.7,0.3,0.4,844,42
MF,22.4208,0.7,0.3,0.4,844,42
IL,15.822710004221191,0.12,0.1,0.4,845,49
MB,51.3728,0.12,0.1,0.4,845,49
MF,53.6336,0.12,0.1,0.4,845,49
IL,32.6048,0.68,0.2,0.4,846,46
MB,74.6524,0.68,0.2,0.4,846,46
MF,12.7428,0.68,0.2,0.4,846,46
IL,70.2404,0.58,0.3,0.4,847,48
MB,13.72,0.58,0.3,0.4,847,48
MF,36.0396,0.58,0.3,0.4,847,48
IL,46.7228,0.34,0.3,0.4,848,42
MB,12.1968,0.34,0.3,0.4,848,42
MF,61.0804,0.34,0.3,0.4,848,42
IL,57.4036,0.72,0.3,0.4,849,42
MB,43.734,0.72,0.3,0.4,849,42
MF,18.8624,0.72,0.3,0.4,849,42
IL,48.6432,0.56,0.3,0.4,850,44
MB,14.9052,0.56,0.3,0.4,850,44
MF,56.4516,0.56,0.3,0.4,850,44
IL,14.2628,0.38,0.1,0.4,851,43
MB,89.406,0.38,0.1,0.4,851,43
MF,16.3312,0.38,0.1,0.4,851,43
IL,17.0492,0.54,0.1,0.4,852,49
MB,80.438,0.54,0.1,0.4,852,49
MF,22.5128,0.54,0.1,0.4,852,49
IL,30.368,0.94,0.2,0.4,853,46
MB,56.5296,0.94,0.2,0.4,853,46
MF,33.1024,0.94,0.2,0.4,853,46
IL,13.5672,0.82,0.1,0.4,854,43
MB,89.1232,0.82,0.1,0.4,854,43
MF,17.3096,0.82,0.1,0.4,854,43
IL,41.9648,0.56,0.3,0.4,855,50
MB,43.1616,0.56,0.3,0.4,855,50
MF,34.8736,0.56,0.3,0.4,855,50
IL,56.074,0.56,0.3,0.4,856,51
MB,40.8072,0.56,0.3,0.4,856,51
MF,23.1188,0.56,0.3,0.4,856,51
IL,17.6916,0.82,0.1,0.4,857,42
MB,94.8568,0.82,0.1,0.4,857,42
MF,7.4516,0.82,0.1,0.4,857,42
IL,23.6052,0.54,0.1,0.4,858,48
MB,78.5004,0.54,0.1,0.4,858,48
MF,17.8944,0.54,0.1,0.4,858,48
IL,25.1912,0.94,0.2,0.4,859,47
MB,85.4872,0.94,0.2,0.4,859,47
MF,9.734335839598998,0.94,0.2,0.4,859,47
IL,23.7544,0.38,0.1,0.4,860,42
MB,30.5416,0.38,0.1,0.4,860,42
MF,65.704,0.38,0.1,0.4,860,42
IL,46.6076,0.56,0.3,0.4,861,45
MB,38.3748,0.56,0.3,0.4,861,45
MF,35.0176,0.56,0.3,0.4,861,45
IL,54.69,0.72,0.3,0.4,862,43
MB,47.2904,0.72,0.3,0.4,862,43
MF,18.0196,0.72,0.3,0.4,862,43
IL,68.3336,0.7,0.3,0.4,863,43
MB,36.998,0.7,0.3,0.4,863,43
MF,14.6684,0.7,0.3,0.4,863,43
IL,54.8368,0.34,0.3,0.4,864,43
MB,28.7808,0.34,0.3,0.4,864,43
MF,36.3824,0.34,0.3,0.4,864,43
IL,41.5788,0.58,0.3,0.4,865,49
MB,63.368,0.58,0.3,0.4,865,49
MF,15.0532,0.58,0.3,0.4,865,49
IL,37.056,0.68,0.2,0.4,866,47
MB,60.8984,0.68,0.2,0.4,866,47
MF,22.0456,0.68,0.2,0.4,866,47
IL,13.4316,0.12,0.1,0.4,867,48
MB,13.3176,0.12,0.1,0.4,867,48
MF,93.2508,0.12,0.1,0.4,867,48
IL,82.8776,0.65,0.3,0.4,868,47
MB,26.7324,0.65,0.3,0.4,868,47
MF,10.39,0.65,0.3,0.4,868,47
IL,38.426,0.39,0.2,0.4,869,43
MB,23.6464,0.39,0.2,0.4,869,43
MF,57.9276,0.39,0.2,0.4,869,43
IL,35.3208,0.83,0.2,0.4,870,43
MB,63.1532,0.83,0.2,0.4,870,43
MF,21.526,0.83,0.2,0.4,870,43
IL,25.0184,0.95,0.1,0.4,871,46
MB,90.7184,0.95,0.1,0.4,871,46
MF,4.5762129669386,0.95,0.1,0.4,871,46
IL,15.868,0.55,0.2,0.4,872,49
MB,97.4028,0.55,0.2,0.4,872,49
MF,6.920197449609215,0.55,0.2,0.4,872,49
IL,19.1512,0.13,0.2,0.4,873,49
MB,34.384,0.13,0.2,0.4,873,49
MF,66.4648,0.13,0.2,0.4,873,49
IL,13.2764,0.69,0.1,0.4,874,46
MB,85.1132,0.69,0.1,0.4,874,46
MF,21.6104,0.69,0.1,0.4,874,46
IL,50.1128,0.99,0.3,0.4,875,47
MB,61.3112,0.99,0.3,0.4,875,47
MF,8.576,0.99,0.3,0.4,875,47
IL,16.0516,0.23,0.3,0.4,876,47
MB,15.0848,0.23,0.3,0.4,876,47
MF,88.8636,0.23,0.3,0.4,876,47
IL,24.4908,0.18,0.1,0.4,877,46
MB,54.7968,0.18,0.1,0.4,877,46
MF,40.7124,0.18,0.1,0.4,877,46
IL,43.7292,0.62,0.2,0.4,878,49
MB,53.352,0.62,0.2,0.4,878,49
MF,22.9188,0.62,0.2,0.4,878,49
IL,49.9912,0.52,0.3,0.4,879,47
MB,49.3504,0.52,0.3,0.4,879,47
MF,20.6584,0.52,0.3,0.4,879,47
IL,28.0128,0.14,0.3,0.4,880,47
MB,12.8324,0.14,0.3,0.4,880,47
MF,79.1548,0.14,0.3,0.4,880,47
IL,24.6268,0.24,0.2,0.4,881,49
MB,30.9116,0.24,0.2,0.4,881,49
MF,64.4616,0.24,0.2,0.4,881,49
IL,22.8048,0.48,0.2,0.4,882,43
MB,24.8656,0.48,0.2,0.4,882,43
MF,72.3296,0.48,0.2,0.4,882,43
IL,38.3808,0.29,0.3,0.4,883,49
MB,20.7436,0.29,0.3,0.4,883,49
MF,60.8756,0.29,0.3,0.4,883,49
IL,37.0804,0.45,0.3,0.4,884,43
MB,7.6136,0.45,0.3,0.4,884,43
MF,75.306,0.45,0.3,0.4,884,43
IL,40.4544,0.93,0.3,0.4,885,49
MB,76.2452,0.93,0.3,0.4,885,49
MF,3.899338374291115,0.93,0.3,0.4,885,49
IL,70.5252,0.61,0.3,0.4,886,45
MB,13.9076,0.61,0.3,0.4,886,45
MF,35.5672,0.61,0.3,0.4,886,45
IL,17.5528384279476,0.63,0.1,0.4,887,48
MB,77.3472,0.63,0.1,0.4,887,48
MF,26.5744,0.63,0.1,0.4,887,48
IL,7.595659163987138,0.91,0.1,0.4,888,44
MB,104.1792,0.91,0.1,0.4,888,44
MF,8.328225806451613,0.91,0.1,0.4,888,44
IL,31.4088,0.19,0.2,0.4,889,47
MB,11.6168,0.19,0.2,0.4,889,47
MF,76.9744,0.19,0.2,0.4,889,47
IL,15.6844,0.91,0.1,0.4,890,50
MB,93.6712,0.91,0.1,0.4,890,50
MF,10.6444,0.91,0.1,0.4,890,50
IL,59.7532,0.61,0.3,0.4,891,51
MB,19.0164,0.61,0.3,0.4,891,51
MF,41.2304,0.61,0.3,0.4,891,51
IL,20.0732,0.49,0.1,0.4,892,42
MB,50.7904,0.49,0.1,0.4,892,42
MF,49.1364,0.49,0.1,0.4,892,42
IL,17.0984,0.25,0.1,0.4,893,48
MB,51.4784,0.25,0.1,0.4,893,48
MF,51.4232,0.25,0.1,0.4,893,48
IL,13.4692,0.03,0.3,0.4,894,43
MB,7.865695792880259,0.03,0.3,0.4,894,43
MF,98.7532,0.03,0.3,0.4,894,43
IL,10.3844,0.27,0.3,0.4,895,45
MB,27.4672,0.27,0.3,0.4,895,45
MF,82.1484,0.27,0.3,0.4,895,45
IL,27.0388,0.27,0.3,0.4,896,51
MB,17.832,0.27,0.3,0.4,896,51
MF,75.1292,0.27,0.3,0.4,896,51
IL,7.899234179766223,0.02,0.2,0.4,897,51
MB,15.6792,0.02,0.2,0.4,897,51
MF,96.4816,0.02,0.2,0.4,897,51
IL,8.207105369398466,0.02,0.2,0.4,898,45
MB,20.9768,0.02,0.2,0.4,898,45
MF,90.8916,0.02,0.2,0.4,898,45
IL,27.1204,0.26,0.2,0.4,899,43
MB,38.6004,0.26,0.2,0.4,899,43
MF,54.2792,0.26,0.2,0.4,899,43
IL,21.2396,0.3,0.1,0.4,900,46
MB,59.1444,0.3,0.1,0.4,900,46
MF,39.616,0.3,0.1,0.4,900,46
IL,40.6432,0.44,0.2,0.4,901,51
MB,41.2236,0.44,0.2,0.4,901,51
MF,38.1332,0.44,0.2,0.4,901,51
IL,4.766808510638298,0.76,0.1,0.4,902,46
MB,113.2664,0.76,0.1,0.4,902,46
MF,2.6122448979591835,0.76,0.1,0.4,902,46
IL,34.2032,0.44,0.2,0.4,903,45
MB,29.4228,0.44,0.2,0.4,903,45
MF,56.374,0.44,0.2,0.4,903,45
IL,57.542,0.86,0.3,0.4,904,47
MB,47.8436,0.86,0.3,0.4,904,47
MF,14.6144,0.86,0.3,0.4,904,47
IL,12.5756,0.03,0.1,0.4,905,44
MB,19.8832,0.03,0.1,0.4,905,44
MF,87.5412,0.03,0.1,0.4,905,44
IL,41.3496,0.31,0.2,0.4,906,47
MB,25.4312,0.31,0.2,0.4,906,47
MF,53.2192,0.31,0.2,0.4,906,47
IL,13.656,0.27,0.1,0.4,907,42
MB,39.9492,0.27,0.1,0.4,907,42
MF,66.3948,0.27,0.1,0.4,907,42
IL,5.6612,0.01,0.3,0.4,908,49
MB,9.5988,0.01,0.3,0.4,908,49
MF,104.74,0.01,0.3,0.4,908,49
IL,55.8972,0.49,0.3,0.4,909,45
MB,18.3396,0.49,0.3,0.4,909,45
MF,45.7632,0.49,0.3,0.4,909,45
IL,22.5132,0.2,0.2,0.4,910,47
MB,10.646,0.2,0.2,0.4,910,47
MF,86.8408,0.2,0.2,0.4,910,47
IL,57.468,0.49,0.3,0.4,911,51
MB,14.9928,0.49,0.3,0.4,911,51
MF,47.5392,0.49,0.3,0.4,911,51
IL,7.062393887945671,0.03,0.1,0.4,912,50
MB,28.1896,0.03,0.1,0.4,912,50
MF,85.1548,0.03,0.1,0.4,912,50
IL,42.6208,0.91,0.3,0.4,913,43
MB,64.5528,0.91,0.3,0.4,913,43
MF,12.8264,0.91,0.3,0.4,913,43
IL,51.4296,0.47,0.3,0.4,914,49
MB,26.0608,0.47,0.3,0.4,914,49
MF,42.5096,0.47,0.3,0.4,914,49
IL,12.472,0.45,0.1,0.4,915,44
MB,83.1616,0.45,0.1,0.4,915,44
MF,24.3664,0.45,0.1,0.4,915,44
IL,21.662,0.77,0.2,0.4,916,47
MB,86.046,0.77,0.2,0.4,916,47
MF,12.292,0.77,0.2,0.4,916,47
IL,21.0488,0.61,0.1,0.4,917,42
MB,63.4964,0.61,0.1,0.4,917,42
MF,35.4548,0.61,0.1,0.4,917,42
IL,8.2596,0.45,0.1,0.4,918,50
MB,99.2876,0.45,0.1,0.4,918,50
MF,12.4528,0.45,0.1,0.4,918,50
IL,65.8612,1.0,0.3,0.4,919,47
MB,46.4612,1.0,0.3,0.4,919,47
MF,7.6776,1.0,0.3,0.4,919,47
IL,23.9996,0.7,0.1,0.4,920,50
MB,85.0408,0.7,0.1,0.4,920,50
MF,10.9596,0.7,0.1,0.4,920,50
IL,11.4964,0.34,0.1,0.4,921,50
MB,78.7544,0.34,0.1,0.4,921,50
MF,29.7492,0.34,0.1,0.4,921,50
IL,34.7396,0.36,0.3,0.4,922,49
MB,16.698,0.36,0.3,0.4,922,49
MF,68.5624,0.36,0.3,0.4,922,49
IL,26.6964,0.34,0.1,0.4,923,44
MB,51.8852,0.34,0.1,0.4,923,44
MF,41.4184,0.34,0.1,0.4,923,44
IL,11.8876,0.06,0.2,0.4,924,47
MB,12.2832,0.06,0.2,0.4,924,47
MF,95.8292,0.06,0.2,0.4,924,47
IL,14.6852,0.7,0.1,0.4,925,44
MB,91.032,0.7,0.1,0.4,925,44
MF,14.403791851553045,0.7,0.1,0.4,925,44
IL,74.9188,0.5,0.3,0.4,926,49
MB,11.3664,0.5,0.3,0.4,926,49
MF,33.7148,0.5,0.3,0.4,926,49
IL,40.6,0.38,0.3,0.4,927,51
MB,7.6624,0.38,0.3,0.4,927,51
MF,71.7376,0.38,0.3,0.4,927,51
IL,48.9608,0.82,0.3,0.4,928,51
MB,59.4664,0.82,0.3,0.4,928,51
MF,11.5728,0.82,0.3,0.4,928,51
IL,14.1244,0.72,0.1,0.4,929,50
MB,89.7424,0.72,0.1,0.4,929,50
MF,16.1332,0.72,0.1,0.4,929,50
IL,19.7732,0.9,0.1,0.4,930,48
MB,90.408,0.9,0.1,0.4,930,48
MF,9.8188,0.9,0.1,0.4,930,48
IL,20.916,0.56,0.1,0.4,931,42
MB,86.9944,0.56,0.1,0.4,931,42
MF,12.0896,0.56,0.1,0.4,931,42
IL,17.2416,0.72,0.1,0.4,932,44
MB,86.2892,0.72,0.1,0.4,932,44
MF,16.4692,0.72,0.1,0.4,932,44
IL,31.2832,0.38,0.3,0.4,933,45
MB,7.602641056422569,0.38,0.3,0.4,933,45
MF,81.1172,0.38,0.3,0.4,933,45
IL,85.3928,0.82,0.3,0.4,934,45
MB,18.6888,0.82,0.3,0.4,934,45
MF,15.9184,0.82,0.3,0.4,934,45
IL,29.548,0.11,0.2,0.4,935,43
MB,10.7944,0.11,0.2,0.4,935,43
MF,79.6576,0.11,0.2,0.4,935,43
IL,4.380736029077692,0.07,0.1,0.4,936,46
MB,37.1632,0.07,0.1,0.4,936,46
MF,78.98,0.07,0.1,0.4,936,46
IL,29.0676,0.35,0.2,0.4,937,45
MB,44.1704,0.35,0.2,0.4,937,45
MF,46.762,0.35,0.2,0.4,937,45
IL,24.1576,0.6,0.2,0.4,938,45
MB,80.3416,0.6,0.2,0.4,938,45
MF,15.5008,0.6,0.2,0.4,938,45
IL,42.55,0.6,0.2,0.4,939,51
MB,62.6488,0.6,0.2,0.4,939,51
MF,14.8012,0.6,0.2,0.4,939,51
IL,30.7468,0.35,0.2,0.4,940,51
MB,36.1984,0.35,0.2,0.4,940,51
MF,53.0548,0.35,0.2,0.4,940,51
IL,7.5128,0.8,0.2,0.4,941,49
MB,102.4628,0.8,0.2,0.4,941,49
MF,10.0244,0.8,0.2,0.4,941,49
IL,16.1812,0.57,0.2,0.4,942,43
MB,93.2556,0.57,0.2,0.4,942,43
MF,10.5632,0.57,0.2,0.4,942,43
IL,22.2108,0.81,0.2,0.4,943,49
MB,84.2092,0.81,0.2,0.4,943,49
MF,13.58,0.81,0.2,0.4,943,49
IL,14.746,0.41,0.1,0.4,944,46
MB,87.934,0.41,0.1,0.4,944,46
MF,17.32,0.41,0.1,0.4,944,46
IL,42.5324,0.73,0.2,0.4,945,45
MB,31.168,0.73,0.2,0.4,945,45
MF,46.2996,0.73,0.2,0.4,945,45
IL,20.2408,0.73,0.2,0.4,946,51
MB,80.8692,0.73,0.2,0.4,946,51
MF,18.89,0.73,0.2,0.4,946,51
IL,27.63,0.41,0.1,0.4,947,44
MB,72.932,0.41,0.1,0.4,947,44
MF,19.438,0.41,0.1,0.4,947,44
IL,39.0624,0.73,0.2,0.4,948,47
MB,59.7348,0.73,0.2,0.4,948,47
MF,21.2028,0.73,0.2,0.4,948,47
IL,9.7408,0.65,0.1,0.4,949,42
MB,103.3176,0.65,0.1,0.4,949,42
MF,6.9416,0.65,0.1,0.4,949,42
IL,17.622,0.09,0.1,0.4,950,48
MB,21.4368,0.09,0.1,0.4,950,48
MF,80.9412,0.09,0.1,0.4,950,48
IL,53.2144,0.95,0.3,0.4,951,43
MB,43.7252,0.95,0.3,0.4,951,43
MF,23.0604,0.95,0.3,0.4,951,43
IL,70.0808,0.43,0.3,0.4,952,49
MB,6.3476,0.43,0.3,0.4,952,49
MF,43.5716,0.43,0.3,0.4,952,49
IL,22.0384,0.41,0.1,0.4,953,50
MB,60.2272,0.41,0.1,0.4,953,50
MF,37.7344,0.41,0.1,0.4,953,50
IL,56.0232,0.6,0.2,0.4,954,47
MB,10.3232,0.6,0.2,0.4,954,47
MF,53.6536,0.6,0.2,0.4,954,47
IL,6.435233160621761,0.05,0.3,0.4,955,49
MB,6.484155635780184,0.05,0.3,0.4,955,49
MF,108.0692,0.05,0.3,0.4,955,49
IL,51.9312,0.69,0.3,0.4,956,43
MB,24.7632,0.69,0.3,0.4,956,43
MF,43.3056,0.69,0.3,0.4,956,43
IL,12.408,0.99,0.1,0.4,957,42
MB,96.4664,0.99,0.1,0.4,957,42
MF,11.1256,0.99,0.1,0.4,957,42
IL,13.0168,0.07,0.1,0.4,958,44
MB,36.1768,0.07,0.1,0.4,958,44
MF,70.8064,0.07,0.1,0.4,958,44
IL,38.004,0.35,0.2,0.4,959,47
MB,21.9036,0.35,0.2,0.4,959,47
MF,60.0924,0.35,0.2,0.4,959,47
IL,16.0904,0.23,0.1,0.4,960,42
MB,62.2216,0.23,0.1,0.4,960,42
MF,41.688,0.23,0.1,0.4,960,42
IL,6.274437627811861,0.07,0.1,0.4,961,50
MB,40.8,0.07,0.1,0.4,961,50
MF,73.0636,0.07,0.1,0.4,961,50
IL,30.728,0.82,0.3,0.4,962,47
MB,83.1092,0.82,0.3,0.4,962,47
MF,6.1628,0.82,0.3,0.4,962,47
IL,26.526,0.38,0.3,0.4,963,47
MB,21.494,0.38,0.3,0.4,963,47
MF,71.98,0.38,0.3,0.4,963,47
IL,13.088,0.08,0.2,0.4,964,49
MB,9.41401792991035,0.08,0.2,0.4,964,49
MF,97.6712,0.08,0.2,0.4,964,49
IL,9.5032,0.72,0.1,0.4,965,46
MB,105.4568,0.72,0.1,0.4,965,46
MF,5.247813411078718,0.72,0.1,0.4,965,46
IL,31.3656,0.64,0.2,0.4,966,43
MB,74.9236,0.64,0.2,0.4,966,43
MF,13.7108,0.64,0.2,0.4,966,43
IL,12.210889882161723,0.06,0.2,0.4,967,51
MB,14.9252,0.06,0.2,0.4,967,51
MF,93.0544,0.06,0.2,0.4,967,51
IL,10.5532,0.7,0.1,0.4,968,46
MB,79.474,0.7,0.1,0.4,968,46
MF,29.9728,0.7,0.1,0.4,968,46
IL,14.3852,0.34,0.1,0.4,969,46
MB,53.14,0.34,0.1,0.4,969,46
MF,52.4748,0.34,0.1,0.4,969,46
IL,12.5728,0.06,0.2,0.4,970,45
MB,11.2408,0.06,0.2,0.4,970,45
MF,96.1864,0.06,0.2,0.4,970,45
IL,22.1952,0.22,0.2,0.4,971,43
MB,32.6076,0.22,0.2,0.4,971,43
MF,65.1972,0.22,0.2,0.4,971,43
IL,27.5844,0.98,0.2,0.4,972,43
MB,84.2732,0.98,0.2,0.4,972,43
MF,8.1424,0.98,0.2,0.4,972,43
IL,53.5212,0.53,0.2,0.4,973,43
MB,36.1856,0.53,0.2,0.4,973,43
MF,30.2932,0.53,0.2,0.4,973,43
IL,33.8584,0.85,0.2,0.4,974,49
MB,58.2192,0.85,0.2,0.4,974,49
MF,27.9224,0.85,0.2,0.4,974,49
IL,13.9536,0.45,0.1,0.4,975,46
MB,79.522,0.45,0.1,0.4,975,46
MF,26.5244,0.45,0.1,0.4,975,46
IL,23.2168,0.77,0.2,0.4,976,45
MB,79.326,0.77,0.2,0.4,976,45
MF,17.4572,0.77,0.2,0.4,976,45
IL,39.3536,1.0,0.3,0.4,977,51
MB,72.7624,1.0,0.3,0.4,977,51
MF,7.884,1.0,0.3,0.4,977,51
IL,34.832,1.0,0.3,0.4,978,45
MB,80.1444,1.0,0.3,0.4,978,45
MF,5.153467377923676,1.0,0.3,0.4,978,45
IL,23.9808,0.77,0.2,0.4,979,51
MB,64.1248,0.77,0.2,0.4,979,51
MF,31.8944,0.77,0.2,0.4,979,51
IL,16.82,0.2,0.2,0.4,980,45
MB,30.47,0.2,0.2,0.4,980,45
MF,72.71,0.2,0.2,0.4,980,45
IL,48.6968,0.49,0.3,0.4,981,47
MB,15.291744840525329,0.49,0.3,0.4,981,47
MF,58.2624,0.49,0.3,0.4,981,47
IL,22.146,0.15,0.2,0.4,982,43
MB,6.4509018036072145,0.15,0.2,0.4,982,43
MF,91.416,0.15,0.2,0.4,982,43
IL,4.489387755102041,0.03,0.1,0.4,983,46
MB,71.8872,0.03,0.1,0.4,983,46
MF,43.7132,0.03,0.1,0.4,983,46
IL,36.232,0.31,0.2,0.4,984,45
MB,18.3152,0.31,0.2,0.4,984,45
MF,65.4528,0.31,0.2,0.4,984,45
IL,14.8012,0.79,0.2,0.4,985,49
MB,96.8732,0.79,0.2,0.4,985,49
MF,8.365755627009646,0.79,0.2,0.4,985,49
IL,29.024,0.31,0.2,0.4,986,51
MB,24.27,0.31,0.2,0.4,986,51
MF,66.706,0.31,0.2,0.4,986,51
IL,14.8128,0.2,0.2,0.4,987,51
MB,15.0892,0.2,0.2,0.4,987,51
MF,90.098,0.2,0.2,0.4,987,51
IL,13.6644,0.76,0.1,0.4,988,50
MB,96.0156,0.76,0.1,0.4,988,50
MF,10.32,0.76,0.1,0.4,988,50
IL,63.5632,0.86,0.3,0.4,989,51
MB,45.3716,0.86,0.3,0.4,989,51
MF,11.0652,0.86,0.3,0.4,989,51
IL,13.632,0.18,0.3,0.4,990,43
MB,18.9588,0.18,0.3,0.4,990,43
MF,87.4092,0.18,0.3,0.4,990,43
IL,94.2924,0.86,0.3,0.4,991,45
MB,13.1348,0.86,0.3,0.4,991,45
MF,12.5728,0.86,0.3,0.4,991,45
IL,48.738,0.74,0.3,0.4,992,49
MB,60.4932,0.74,0.3,0.4,992,49
MF,10.7688,0.74,0.3,0.4,992,49
IL,7.7716,0.52,0.1,0.4,993,42
MB,91.2408,0.52,0.1,0.4,993,42
MF,20.9876,0.52,0.1,0.4,993,42
IL,17.6532,0.76,0.1,0.4,994,44
MB,86.2584,0.76,0.1,0.4,994,44
MF,16.0884,0.76,0.1,0.4,994,44
IL,22.8076,0.44,0.2,0.4,995,47
MB,39.5916,0.44,0.2,0.4,995,47
MF,57.6008,0.44,0.2,0.4,995,47
IL,15.856,0.84,0.1,0.4,996,48
MB,95.9476,0.84,0.1,0.4,996,48
MF,8.1964,0.84,0.1,0.4,996,48
IL,21.5468,0.3,0.1,0.4,997,50
MB,57.77,0.3,0.1,0.4,997,50
MF,40.6832,0.3,0.1,0.4,997,50
IL,18.0268,0.1,0.3,0.4,998,49
MB,6.048361096184847,0.1,0.3,0.4,998,49
MF,97.4708,0.1,0.3,0.4,998,49
IL,22.7544,0.3,0.1,0.4,999,44
MB,63.794,0.3,0.1,0.4,999,44
MF,33.4516,0.3,0.1,0.4,999,44
IL,10.6752,0.78,0.1,0.4,1000,48
MB,86.6524,0.78,0.1,0.4,1000,48
MF,22.6724,0.78,0.1,0.4,1000,48
IL,17.9524,0.14,0.1,0.4,1001,42
MB,17.7692,0.14,0.1,0.4,1001,42
MF,84.2784,0.14,0.1,0.4,1001,42
IL,13.582,0.02,0.2,0.4,1002,47
MB,12.2268,0.02,0.2,0.4,1002,47
