strategy,count,delta,lambda,kappa,sim
MB,5.7444,0.7000000000000001,0.6000000000000001,0.2,85
MF,9.6432,0.7000000000000001,0.6000000000000001,0.2,85
IL,5.63459841129744,0.8,0.6000000000000001,0.9,86
MB,7.2488,0.8,0.6000000000000001,0.9,86
MF,107.644,0.8,0.6000000000000001,0.9,86
IL,105.116,0.2,0.9,0.0,87
MB,3.627945431996693,0.2,0.9,0.0,87
MF,11.3736,0.2,0.9,0.0,87
IL,41.8764,0.8,1.0,0.7000000000000001,88
MB,4.0752,0.8,1.0,0.7000000000000001,88
MF,74.0484,0.8,1.0,0.7000000000000001,88
IL,8.1216,0.5,0.4,0.8,89
MB,3.547192839707079,0.5,0.4,0.8,89
MF,108.3908,0.5,0.4,0.8,89
IL,29.6836,0.2,0.8,0.30000000000000004,90
MB,3.169631774927596,0.2,0.8,0.30000000000000004,90
MF,87.252,0.2,0.8,0.30000000000000004,90
IL,108.1096,1.0,0.8,0.0,91
MB,5.0648,1.0,0.8,0.0,91
MF,6.8256,1.0,0.8,0.0,91
IL,3.014723926380368,0.0,0.6000000000000001,0.8,92
MB,3.8132832080200503,0.0,0.6000000000000001,0.8,92
MF,113.4,0.0,0.6000000000000001,0.8,92
IL,40.1708,0.6000000000000001,0.7000000000000001,0.5,93
MB,4.72067965188562,0.6000000000000001,0.7000000000000001,0.5,93
MF,75.2728,0.6000000000000001,0.7000000000000001,0.5,93
IL,102.4436,0.7000000000000001,0.30000000000000004,0.1,94
MB,4.3928,0.7000000000000001,0.30000000000000004,0.1,94
MF,13.1636,0.7000000000000001,0.30000000000000004,0.1,94
IL,73.0876,0.5,0.6000000000000001,0.4,95
MB,6.15,0.5,0.6000000000000001,0.4,95
MF,40.7624,0.5,0.6000000000000001,0.4,95
IL,10.6052,0.8,0.5,0.8,96
MB,4.694310897435898,0.8,0.5,0.8,96
MF,104.708,0.8,0.5,0.8,96
IL,4.656552886641382,0.1,0.0,0.30000000000000004,97
MB,102.2484,0.1,0.0,0.30000000000000004,97
MF,13.3316,0.1,0.0,0.30000000000000004,97
IL,6.805922368947579,1.0,1.0,0.8,98
MB,3.8366039247096517,1.0,1.0,0.8,98
MF,109.3648,1.0,1.0,0.8,98
IL,7.066,0.2,0.2,0.8,99
MB,14.5364,0.2,0.2,0.8,99
MF,98.3976,0.2,0.2,0.8,99
IL,3.8124740124740124,0.5,0.8,1.0,100
MB,3.7403508771929825,0.5,0.8,1.0,100
MF,112.9212,0.5,0.8,1.0,100
IL,24.5752,0.7000000000000001,0.2,0.30000000000000004,101
MB,83.4296,0.7000000000000001,0.2,0.30000000000000004,101
MF,11.9952,0.7000000000000001,0.2,0.30000000000000004,101
IL,82.6768,0.9,0.4,0.4,102
MB,27.382,0.9,0.4,0.4,102
MF,9.9412,0.9,0.4,0.4,102
IL,93.836,0.6000000000000001,0.8,0.30000000000000004,103
MB,3.1790980052038162,0.6000000000000001,0.8,0.30000000000000004,103
MF,23.2316,0.6000000000000001,0.8,0.30000000000000004,103
IL,102.264,0.6000000000000001,0.8,0.2,104
MB,3.472664657770125,0.6000000000000001,0.8,0.2,104
MF,14.5092,0.6000000000000001,0.8,0.2,104
IL,7.907925961082107,1.0,0.3,0.8,105
MB,10.0,1.0,0.3,0.8,105
MF,103.7272,1.0,0.3,0.8,105
IL,35.3628,0.9,0.9,0.6000000000000001,106
MB,7.4968,0.9,0.9,0.6000000000000001,106
